State FIPS code,State,County FIPS code,County name,Number of returns
00,US,000,Total [12],"147,036,250"
01,AL,000,Alabama,2046400
01,AL,001,Autauga County,23820
01,AL,003,Baldwin County,90890
01,AL,005,Barbour County,9730
01,AL,007,Bibb County,7980
01,AL,009,Blount County,21900
01,AL,011,Bullock County,3820
01,AL,013,Butler County,8320
01,AL,015,Calhoun County,48040
01,AL,017,Chambers County,14690
01,AL,019,Cherokee County,9180
01,AL,021,Chilton County,17430
01,AL,023,Choctaw County,5230
01,AL,025,Clarke County,10280
01,AL,027,Clay County,5460
01,AL,029,Cleburne County,5700
01,AL,031,Coffee County,21010
01,AL,033,Colbert County,23690
01,AL,035,Conecuh County,4910
01,AL,037,Coosa County,4000
01,AL,039,Covington County,15010
01,AL,041,Crenshaw County,5760
01,AL,043,Cullman County,33260
01,AL,045,Dale County,20080
01,AL,047,Dallas County,16500
01,AL,049,DeKalb County,26820
01,AL,051,Elmore County,34760
01,AL,053,Escambia County,14360
01,AL,055,Etowah County,41710
01,AL,057,Fayette County,6250
01,AL,059,Franklin County,12320
01,AL,061,Geneva County,10220
01,AL,063,Greene County,3480
01,AL,065,Hale County,6390
01,AL,067,Henry County,7050
01,AL,069,Houston County,44650
01,AL,071,Jackson County,21140
01,AL,073,Jefferson County,295560
01,AL,075,Lamar County,5290
01,AL,077,Lauderdale County,38140
01,AL,079,Lawrence County,13540
01,AL,081,Lee County,61750
01,AL,083,Limestone County,37590
01,AL,085,Lowndes County,4960
01,AL,087,Macon County,8180
01,AL,089,Madison County,163260
01,AL,091,Marengo County,8350
01,AL,093,Marion County,10760
01,AL,095,Marshall County,39280
01,AL,097,Mobile County,176120
01,AL,099,Monroe County,8330
01,AL,101,Montgomery County,100620
01,AL,103,Morgan County,52650
01,AL,105,Perry County,3740
01,AL,107,Pickens County,7530
01,AL,109,Pike County,12620
01,AL,111,Randolph County,8970
01,AL,113,Russell County,23780
01,AL,115,St. Clair County,35230
01,AL,117,Shelby County,92570
01,AL,119,Sumter County,5100
01,AL,121,Talladega County,32740
01,AL,123,Tallapoosa County,17270
01,AL,125,Tuscaloosa County,81530
01,AL,127,Walker County,25260
01,AL,129,Washington County,6620
01,AL,131,Wilcox County,4480
01,AL,133,Winston County,9040
02,AK,000,Alaska,361110
02,AK,013,Aleutians East Borough,1000
02,AK,016,Aleutians West Census Area,2330
02,AK,020,Anchorage Municipality,154390
02,AK,050,Bethel Census Area,7050
02,AK,060,Bristol Bay Borough,530
02,AK,068,Denali Borough,1150
02,AK,070,Dillingham Census Area,2390
02,AK,090,Fairbanks North Star Borough,48140
02,AK,100,Haines Borough,1360
02,AK,105,Hoonah-Angoon Census Area,1020
02,AK,110,Juneau City and Borough,17540
02,AK,122,Kenai Peninsula Borough,29020
02,AK,130,Ketchikan Gateway Borough,7250
02,AK,150,Kodiak Island Borough,7020
02,AK,158,Kusilvak Census Area,3260
02,AK,164,Lake and Peninsula Borough,750
02,AK,170,Matanuska-Susitna Borough,44140
02,AK,180,Nome Census Area,3820
02,AK,185,North Slope Borough,3860
02,AK,188,Northwest Arctic Borough,2570
02,AK,195,Petersburg Census Area,2000
02,AK,198,Prince of Wales-Hyder Census Area,2430
02,AK,220,Sitka City and Borough,4730
02,AK,230,Skagway Municipality,770
02,AK,240,Southeast Fairbanks Census Area,3240
02,AK,261,Valdez-Cordova Census Area,5160
02,AK,275,Wrangell City and Borough,1190
02,AK,282,Yakutat City and Borough,290
02,AK,290,Yukon-Koyukuk Census Area,2840
04,AZ,000,Arizona,2844970
04,AZ,001,Apache County,23880
04,AZ,003,Cochise County,52000
04,AZ,005,Coconino County,58640
04,AZ,007,Gila County,21240
04,AZ,009,Graham County,11530
04,AZ,011,Greenlee County,3480
04,AZ,012,La Paz County,6520
04,AZ,013,Maricopa County,1780700
04,AZ,015,Mohave County,79020
04,AZ,017,Navajo County,37850
04,AZ,019,Pima County,434040
04,AZ,021,Pinal County,133500
04,AZ,023,Santa Cruz County,19610
04,AZ,025,Yavapai County,100270
04,AZ,027,Yuma County,82770
05,AR,000,Arkansas,1223070
05,AR,001,Arkansas County,8030
05,AR,003,Ashley County,8400
05,AR,005,Baxter County,17680
05,AR,007,Benton County,105520
