State FIPS code,State,County FIPS code,County name,Number of returns
00,US,000,Total [11],"144,276,120"
01,AL,000,Alabama,2050090
01,AL,001,Autauga County,23700
01,AL,003,Baldwin County,88490
01,AL,005,Barbour County,10050
01,AL,007,Bibb County,7900
01,AL,009,Blount County,22040
01,AL,011,Bullock County,3790
01,AL,013,Butler County,8440
01,AL,015,Calhoun County,48180
01,AL,017,Chambers County,15050
01,AL,019,Cherokee County,9240
01,AL,021,Chilton County,17280
01,AL,023,Choctaw County,5260
01,AL,025,Clarke County,10320
01,AL,027,Clay County,5530
01,AL,029,Cleburne County,5750
01,AL,031,Coffee County,20860
01,AL,033,Colbert County,23740
01,AL,035,Conecuh County,5080
01,AL,037,Coosa County,4050
01,AL,039,Covington County,15220
01,AL,041,Crenshaw County,5670
01,AL,043,Cullman County,33040
01,AL,045,Dale County,19960
01,AL,047,Dallas County,17030
01,AL,049,DeKalb County,26530
01,AL,051,Elmore County,34520
01,AL,053,Escambia County,14610
01,AL,055,Etowah County,42010
01,AL,057,Fayette County,6280
01,AL,059,Franklin County,12630
01,AL,061,Geneva County,10520
01,AL,063,Greene County,3430
01,AL,065,Hale County,6430
01,AL,067,Henry County,7110
01,AL,069,Houston County,45260
01,AL,071,Jackson County,21310
01,AL,073,Jefferson County,296490
01,AL,075,Lamar County,5380
01,AL,077,Lauderdale County,38060
01,AL,079,Lawrence County,13600
01,AL,081,Lee County,60580
01,AL,083,Limestone County,36760
01,AL,085,Lowndes County,5120
01,AL,087,Macon County,8460
01,AL,089,Madison County,160800
01,AL,091,Marengo County,8310
01,AL,093,Marion County,10790
01,AL,095,Marshall County,39440
01,AL,097,Mobile County,177890
01,AL,099,Monroe County,8510
01,AL,101,Montgomery County,103480
01,AL,103,Morgan County,52350
01,AL,105,Perry County,3730
01,AL,107,Pickens County,7660
01,AL,109,Pike County,12670
01,AL,111,Randolph County,8900
01,AL,113,Russell County,28340
01,AL,115,St. Clair County,34720
01,AL,117,Shelby County,90360
01,AL,119,Sumter County,5120
01,AL,121,Talladega County,32700
01,AL,123,Tallapoosa County,18020
01,AL,125,Tuscaloosa County,79860
01,AL,127,Walker County,25570
01,AL,129,Washington County,6680
01,AL,131,Wilcox County,4470
01,AL,133,Winston County,9210
02,AK,000,Alaska,362990
02,AK,013,Aleutians East Borough,1000
02,AK,016,Aleutians West Census Area,2330
02,AK,020,Anchorage Municipality,156050
02,AK,050,Bethel Census Area,7200
02,AK,060,Bristol Bay Borough,540
02,AK,068,Denali Borough,1130
02,AK,070,Dillingham Census Area,2270
02,AK,090,Fairbanks North Star Borough,48640
02,AK,100,Haines Borough,1400
02,AK,105,Hoonah-Angoon Census Area,1050
02,AK,110,Juneau City and Borough,17790
02,AK,122,Kenai Peninsula Borough,29380
02,AK,130,Ketchikan Gateway Borough,7280
02,AK,150,Kodiak Island Borough,7220
02,AK,164,Lake and Peninsula Borough,810
02,AK,170,Matanuska-Susitna Borough,43010
02,AK,180,Nome Census Area,3960
02,AK,185,North Slope Borough,3500
02,AK,188,Northwest Arctic Borough,2740
02,AK,195,Petersburg Census Area,1970
02,AK,198,Prince of Wales-Hyder Census Area,2390
02,AK,220,Sitka City and Borough,4760
02,AK,230,Skagway Municipality,720
02,AK,240,Southeast Fairbanks Census Area,3390
02,AK,261,Valdez-Cordova Census Area,5280
02,AK,270,Wade Hampton Census Area,3070
02,AK,275,Wrangell City and Borough,1120
02,AK,282,Yakutat City and Borough,310
02,AK,290,Yukon-Koyukuk Census Area,2810
04,AZ,000,Arizona,2759600
04,AZ,001,Apache County,23890
04,AZ,003,Cochise County,52810
04,AZ,005,Coconino County,56170
04,AZ,007,Gila County,21490
04,AZ,009,Graham County,11230
04,AZ,011,Greenlee County,3270
04,AZ,012,La Paz County,6520
04,AZ,013,Maricopa County,1715270
04,AZ,015,Mohave County,78640
04,AZ,017,Navajo County,37600
04,AZ,019,Pima County,425260
04,AZ,021,Pinal County,127610
04,AZ,023,Santa Cruz County,19780
04,AZ,025,Yavapai County,97220
04,AZ,027,Yuma County,82850
05,AR,000,Arkansas,1218890
05,AR,001,Arkansas County,8180
05,AR,003,Ashley County,8640
05,AR,005,Baxter County,17650
05,AR,007,Benton County,100700
05,AR,009,Boone County,15420
05,AR,011,Bradley County,4370
05,AR,013,Calhoun County,1930
05,AR,015,Carroll County,12070
05,AR,017,Chicot County,4260
05,AR,019,Clark County,8560
05,AR,021,Clay County,6050
05,AR,023,Cleburne County,10840
05,AR,025,Cleveland County,3170
05,AR,027,Columbia County,9270
05,AR,029,Conway County,8540
05,AR,031,Craighead County,41000
05,AR,033,Crawford County,23870
05,AR,035,Crittenden County,21410
05,AR,037,Cross County,7390
05,AR,039,Dallas County,3040
05,AR,041,Desha County,5180
05,AR,043,Drew County,7200
05,AR,045,Faulkner County,48200
05,AR,047,Franklin County,6870
05,AR,049,Fulton County,4370
05,AR,051,Garland County,43930
05,AR,053,Grant County,7350
05,AR,055,Greene County,17110
05,AR,057,Hempstead County,8650
05,AR,059,Hot Spring County,12550
05,AR,061,Howard County,5570
05,AR,063,Independence County,14600
05,AR,065,Izard County,4730
05,AR,067,Jackson County,6090
05,AR,069,Jefferson County,30810
05,AR,071,Johnson County,9690
05,AR,073,Lafayette County,2670
05,AR,075,Lawrence County,6250
05,AR,077,Lee County,3180
05,AR,079,Lincoln County,4070
05,AR,081,Little River County,5160
05,AR,083,Logan County,8570
05,AR,085,Lonoke County,29200
05,AR,087,Madison County,6210
05,AR,089,Marion County,6360
05,AR,091,Miller County,17510
05,AR,093,Mississippi County,18160
05,AR,095,Monroe County,3220
05,AR,097,Montgomery County,3180
05,AR,099,Nevada County,3480
05,AR,101,Newton County,3030
05,AR,103,Ouachita County,10020
05,AR,105,Perry County,4160
05,AR,107,Phillips County,7810
05,AR,109,Pike County,4180
05,AR,111,Poinsett County,9110
05,AR,113,Polk County,7750
05,AR,115,Pope County,25350
05,AR,117,Prairie County,3330
05,AR,119,Pulaski County,182270
05,AR,121,Randolph County,6780
05,AR,123,St. Francis County,9470
05,AR,125,Saline County,48490
05,AR,127,Scott County,4120
05,AR,129,Searcy County,3060
05,AR,131,Sebastian County,52650
05,AR,133,Sevier County,6100
05,AR,135,Sharp County,6450
05,AR,137,Stone County,4630
05,AR,139,Union County,17900
05,AR,141,Van Buren County,6560
05,AR,143,Washington County,87840
05,AR,145,White County,30650
05,AR,147,Woodruff County,2780
05,AR,149,Yell County,8120
06,CA,000,California,16906030
06,CA,001,Alameda County,729010
06,CA,003,Alpine County,450
06,CA,005,Amador County,15890
06,CA,007,Butte County,88650
06,CA,009,Calaveras County,19580
06,CA,011,Colusa County,9410
06,CA,013,Contra Costa County,508860
06,CA,015,Del Norte County,9370
06,CA,017,El Dorado County,84100
06,CA,019,Fresno County,375680
06,CA,021,Glenn County,11570
06,CA,023,Humboldt County,54830
06,CA,025,Imperial County,75530
06,CA,027,Inyo County,8610
06,CA,029,Kern County,324830
06,CA,031,Kings County,51800
06,CA,033,Lake County,24790
06,CA,035,Lassen County,9880
06,CA,037,Los Angeles County,4452130
06,CA,039,Madera County,56690
06,CA,041,Marin County,131020
06,CA,043,Mariposa County,7680
06,CA,045,Mendocino County,37810
06,CA,047,Merced County,95620
06,CA,049,Modoc County,3490
06,CA,051,Mono County,6220
06,CA,053,Monterey County,191030
06,CA,055,Napa County,66610
06,CA,057,Nevada County,47970
06,CA,059,Orange County,1433010
06,CA,061,Placer County,167920
06,CA,063,Plumas County,8670
06,CA,065,Riverside County,907260
06,CA,067,Sacramento County,633820
06,CA,069,San Benito County,25110
06,CA,071,San Bernardino County,834700
06,CA,073,San Diego County,1484020
06,CA,075,San Francisco County,452940
06,CA,077,San Joaquin County,284130
06,CA,079,San Luis Obispo County,125560
06,CA,081,San Mateo County,369170
06,CA,083,Santa Barbara County,194070
06,CA,085,Santa Clara County,861860
06,CA,087,Santa Cruz County,126370
06,CA,089,Shasta County,75210
06,CA,091,Sierra County,1260
06,CA,093,Siskiyou County,18480
06,CA,095,Solano County,192040
06,CA,097,Sonoma County,236540
06,CA,099,Stanislaus County,208850
06,CA,101,Sutter County,37910
06,CA,103,Tehama County,24130
06,CA,105,Trinity County,4840
06,CA,107,Tulare County,169170
06,CA,109,Tuolumne County,23400
06,CA,111,Ventura County,396800
06,CA,113,Yolo County,82700
06,CA,115,Yuba County,27160
08,CO,000,Colorado,2449110
08,CO,001,Adams County,208240
08,CO,003,Alamosa County,6470
08,CO,005,Arapahoe County,290520
08,CO,007,Archuleta County,5730
08,CO,009,Baca County,1600
08,CO,011,Bent County,1570
08,CO,013,Boulder County,150360
08,CO,014,Broomfield County,48540
08,CO,015,Chaffee County,8590
08,CO,017,Cheyenne County,820
08,CO,019,Clear Creek County,4700
08,CO,021,Conejos County,2940
08,CO,023,Costilla County,1340
08,CO,025,Crowley County,1140
08,CO,027,Custer County,1890
08,CO,029,Delta County,12830
08,CO,031,Denver County,319330
08,CO,033,Dolores County,840
08,CO,035,Douglas County,137620
08,CO,037,Eagle County,26680
08,CO,039,Elbert County,10710
08,CO,041,El Paso County,292910
08,CO,043,Fremont County,17250
08,CO,045,Garfield County,25390
08,CO,047,Gilpin County,2530
08,CO,049,Grand County,6800
08,CO,051,Gunnison County,7350
08,CO,053,Hinsdale County,410
08,CO,055,Huerfano County,2730
08,CO,057,Jackson County,660
08,CO,059,Jefferson County,261410
08,CO,061,Kiowa County,600
08,CO,063,Kit Carson County,3370
08,CO,065,Lake County,3050
08,CO,067,La Plata County,25640
08,CO,069,Larimer County,149970
08,CO,071,Las Animas County,6020
08,CO,073,Lincoln County,2040
08,CO,075,Logan County,8490
08,CO,077,Mesa County,66660
08,CO,079,Mineral County,420
08,CO,081,Moffat County,5800
08,CO,083,Montezuma County,11090
08,CO,085,Montrose County,17680
08,CO,087,Morgan County,12240
08,CO,089,Otero County,7580
08,CO,091,Ouray County,2320
08,CO,093,Park County,7040
08,CO,095,Phillips County,2000
08,CO,097,Pitkin County,9860
08,CO,099,Prowers County,4900
08,CO,101,Pueblo County,66940
08,CO,103,Rio Blanco County,2870
08,CO,105,Rio Grande County,5930
08,CO,107,Routt County,12300
08,CO,109,Saguache County,1780
08,CO,111,San Juan County,340
08,CO,113,San Miguel County,3980
08,CO,115,Sedgwick County,1100
08,CO,117,Summit County,15750
08,CO,119,Teller County,11230
08,CO,121,Washington County,1970
08,CO,123,Weld County,114050
08,CO,125,Yuma County,4340
09,CT,000,Connecticut,1741250
09,CT,001,Fairfield County,452310
09,CT,003,Hartford County,441140
09,CT,005,Litchfield County,94900
09,CT,007,Middlesex County,84030
09,CT,009,New Haven County,411630
09,CT,011,New London County,134760
09,CT,013,Tolland County,68420
09,CT,015,Windham County,54140
10,DE,000,Delaware,433900
10,DE,001,Kent County,75470
10,DE,003,New Castle County,259660
10,DE,005,Sussex County,98790
11,DC,000,District of Columbia,327680
12,FL,000,Florida,9223410
12,FL,001,Alachua County,108280
12,FL,003,Baker County,10010
12,FL,005,Bay County,83380
12,FL,007,Bradford County,9610
12,FL,009,Brevard County,263650
12,FL,011,Broward County,926010
12,FL,013,Calhoun County,4850
12,FL,015,Charlotte County,75060
12,FL,017,Citrus County,61210
12,FL,019,Clay County,89750
12,FL,021,Collier County,165880
12,FL,023,Columbia County,26330
12,FL,027,DeSoto County,11380
12,FL,029,Dixie County,5070
12,FL,031,Duval County,426580
12,FL,033,Escambia County,139640
12,FL,035,Flagler County,46670
12,FL,037,Franklin County,4350
12,FL,039,Gadsden County,20050
12,FL,041,Gilchrist County,6400
12,FL,043,Glades County,4010
12,FL,045,Gulf County,5660
12,FL,047,Hamilton County,4740
12,FL,049,Hardee County,9830
12,FL,051,Hendry County,15240
12,FL,053,Hernando County,74540
12,FL,055,Highlands County,40520
12,FL,057,Hillsborough County,606530
12,FL,059,Holmes County,6740
12,FL,061,Indian River County,68140
12,FL,063,Jackson County,18270
12,FL,065,Jefferson County,5970
12,FL,067,Lafayette County,2430
12,FL,069,Lake County,142190
12,FL,071,Lee County,303070
12,FL,073,Leon County,125160
12,FL,075,Levy County,16600
12,FL,077,Liberty County,2560
12,FL,079,Madison County,7050
12,FL,081,Manatee County,157820
12,FL,083,Marion County,151170
12,FL,085,Martin County,72800
12,FL,086,Miami-Dade County,1287860
12,FL,087,Monroe County,44780
12,FL,089,Nassau County,35920
12,FL,091,Okaloosa County,96280
12,FL,093,Okeechobee County,14850
12,FL,095,Orange County,581080
12,FL,097,Osceola County,135200
12,FL,099,Palm Beach County,681480
12,FL,101,Pasco County,206960
12,FL,103,Pinellas County,458170
12,FL,105,Polk County,268880
12,FL,107,Putnam County,28140
12,FL,109,St. Johns County,98190
12,FL,111,St. Lucie County,129410
12,FL,113,Santa Rosa County,69840
12,FL,115,Sarasota County,193410
12,FL,117,Seminole County,208820
12,FL,119,Sumter County,46690
12,FL,121,Suwannee County,15900
12,FL,123,Taylor County,8240
12,FL,125,Union County,4570
12,FL,127,Volusia County,235410
12,FL,129,Wakulla County,12540
12,FL,131,Walton County,27040
12,FL,133,Washington County,8830
13,GA,000,Georgia,4332790
13,GA,001,Appling County,6990
13,GA,003,Atkinson County,3080
13,GA,005,Bacon County,4170
13,GA,007,Baker County,1270
13,GA,009,Baldwin County,16810
13,GA,011,Banks County,6860
13,GA,013,Barrow County,30070
13,GA,015,Bartow County,41940
13,GA,017,Ben Hill County,7040
13,GA,019,Berrien County,6860
13,GA,021,Bibb County,67980
13,GA,023,Bleckley County,4690
13,GA,025,Brantley County,6360
13,GA,027,Brooks County,6250
13,GA,029,Bryan County,15170
13,GA,031,Bulloch County,25300
13,GA,033,Burke County,9450
13,GA,035,Butts County,8990
13,GA,037,Calhoun County,2020
13,GA,039,Camden County,20920
13,GA,043,Candler County,4120
13,GA,045,Carroll County,46880
13,GA,047,Catoosa County,26050
13,GA,049,Charlton County,3500
13,GA,051,Chatham County,124900
13,GA,053,Chattahoochee County,3080
13,GA,055,Chattooga County,9080
13,GA,057,Cherokee County,99920
13,GA,059,Clarke County,43960
13,GA,061,Clay County,1180
13,GA,063,Clayton County,122630
13,GA,065,Clinch County,2510
13,GA,067,Cobb County,337290
13,GA,069,Coffee County,15690
13,GA,071,Colquitt County,17680
13,GA,073,Columbia County,57600
13,GA,075,Cook County,6430
13,GA,077,Coweta County,60290
13,GA,079,Crawford County,4990
13,GA,081,Crisp County,8910
13,GA,083,Dade County,6120
13,GA,085,Dawson County,9510
13,GA,087,Decatur County,11180
13,GA,089,DeKalb County,347530
13,GA,091,Dodge County,7240
13,GA,093,Dooly County,4130
13,GA,095,Dougherty County,39070
13,GA,097,Douglas County,59540
13,GA,099,Early County,4340
13,GA,101,Echols County,1330
13,GA,103,Effingham County,23230
13,GA,105,Elbert County,8040
13,GA,107,Emanuel County,8900
13,GA,109,Evans County,4470
13,GA,111,Fannin County,9630
13,GA,113,Fayette County,51220
13,GA,115,Floyd County,39100
13,GA,117,Forsyth County,81900
13,GA,119,Franklin County,8950
13,GA,121,Fulton County,464910
13,GA,123,Gilmer County,11590
13,GA,125,Glascock County,1100
13,GA,127,Glynn County,36200
13,GA,129,Gordon County,22010
13,GA,131,Grady County,10070
13,GA,133,Greene County,7120
13,GA,135,Gwinnett County,386370
13,GA,137,Habersham County,16900
13,GA,139,Hall County,79870
13,GA,141,Hancock County,3140
13,GA,143,Haralson County,10950
13,GA,145,Harris County,13900
13,GA,147,Hart County,10080
13,GA,149,Heard County,4240
13,GA,151,Henry County,92940
13,GA,153,Houston County,66760
13,GA,155,Irwin County,3690
13,GA,157,Jackson County,25730
13,GA,159,Jasper County,5540
13,GA,161,Jeff Davis County,5540
13,GA,163,Jefferson County,7020
13,GA,165,Jenkins County,2930
13,GA,167,Johnson County,2970
13,GA,169,Jones County,11970
13,GA,171,Lamar County,6990
13,GA,173,Lanier County,3420
13,GA,175,Laurens County,20030
13,GA,177,Lee County,13100
13,GA,179,Liberty County,26150
13,GA,181,Lincoln County,3220
13,GA,183,Long County,4800
13,GA,185,Lowndes County,45450
13,GA,187,Lumpkin County,11430
13,GA,189,McDuffie County,9090
13,GA,191,McIntosh County,4940
13,GA,193,Macon County,4640
13,GA,195,Madison County,11390
13,GA,197,Marion County,2830
13,GA,199,Meriwether County,9310
13,GA,201,Miller County,2240
13,GA,205,Mitchell County,8620
13,GA,207,Monroe County,11460
13,GA,209,Montgomery County,3120
13,GA,211,Morgan County,7980
13,GA,213,Murray County,14620
13,GA,215,Muscogee County,96870
13,GA,217,Newton County,43280
13,GA,219,Oconee County,15010
13,GA,221,Oglethorpe County,5700
13,GA,223,Paulding County,59860
13,GA,225,Peach County,11560
13,GA,227,Pickens County,13450
13,GA,229,Pierce County,7550
13,GA,231,Pike County,7210
13,GA,233,Polk County,15920
13,GA,235,Pulaski County,3780
13,GA,237,Putnam County,9100
13,GA,239,Quitman County,870
13,GA,241,Rabun County,7130
13,GA,243,Randolph County,2730
13,GA,245,Richmond County,86240
13,GA,247,Rockdale County,37980
13,GA,249,Schley County,1680
13,GA,251,Screven County,5670
13,GA,253,Seminole County,3610
13,GA,255,Spalding County,26490
13,GA,257,Stephens County,9920
13,GA,259,Stewart County,1770
13,GA,261,Sumter County,12480
13,GA,263,Talbot County,2650
13,GA,265,Taliaferro County,660
13,GA,267,Tattnall County,7970
13,GA,269,Taylor County,3220
13,GA,271,Telfair County,4070
13,GA,273,Terrell County,4100
13,GA,275,Thomas County,18950
13,GA,277,Tift County,17060
13,GA,279,Toombs County,10990
13,GA,281,Towns County,4830
13,GA,283,Treutlen County,2350
13,GA,285,Troup County,29690
13,GA,287,Turner County,3680
13,GA,289,Twiggs County,3680
13,GA,291,Union County,9040
13,GA,293,Upson County,10740
13,GA,295,Walker County,25760
13,GA,297,Walton County,35650
13,GA,299,Ware County,13840
13,GA,301,Warren County,2320
13,GA,303,Washington County,7970
13,GA,305,Wayne County,11020
13,GA,307,Webster County,900
13,GA,309,Wheeler County,1870
13,GA,311,White County,10840
13,GA,313,Whitfield County,41020
13,GA,315,Wilcox County,2790
13,GA,317,Wilkes County,4080
13,GA,319,Wilkinson County,4090
13,GA,321,Worth County,8980
15,HI,000,Hawaii,665150
15,HI,001,Hawaii County,82940
15,HI,003,Honolulu County,472930
15,HI,007,Kauai County,33860
15,HI,009,Maui County,75460
16,ID,000,Idaho,678800
16,ID,001,Ada County,184800
16,ID,003,Adams County,1650
16,ID,005,Bannock County,33450
16,ID,007,Bear Lake County,2460
16,ID,009,Benewah County,3900
16,ID,011,Bingham County,18270
16,ID,013,Blaine County,11370
16,ID,015,Boise County,2890
16,ID,017,Bonner County,18210
16,ID,019,Bonneville County,44280
16,ID,021,Boundary County,4680
16,ID,023,Butte County,1010
16,ID,025,Camas County,410
16,ID,027,Canyon County,76140
16,ID,029,Caribou County,2790
16,ID,031,Cassia County,9010
16,ID,033,Clark County,320
16,ID,035,Clearwater County,3470
16,ID,037,Custer County,1950
16,ID,039,Elmore County,10920
16,ID,041,Franklin County,4830
16,ID,043,Fremont County,5200
16,ID,045,Gem County,6920
16,ID,047,Gooding County,6260
16,ID,049,Idaho County,6050
16,ID,051,Jefferson County,10130
16,ID,053,Jerome County,9280
16,ID,055,Kootenai County,66730
16,ID,057,Latah County,15250
16,ID,059,Lemhi County,3440
16,ID,061,Lewis County,1980
16,ID,063,Lincoln County,2120
16,ID,065,Madison County,11220
16,ID,067,Minidoka County,8740
16,ID,069,Nez Perce County,18020
16,ID,071,Oneida County,1700
16,ID,073,Owyhee County,4340
16,ID,075,Payette County,9440
16,ID,077,Power County,3190
16,ID,079,Shoshone County,5340
16,ID,081,Teton County,4210
16,ID,083,Twin Falls County,33930
16,ID,085,Valley County,4630
16,ID,087,Washington County,4010
17,IL,000,Illinois,6075020
17,IL,001,Adams County,32050
17,IL,003,Alexander County,2770
17,IL,005,Bond County,7100
17,IL,007,Boone County,25050
17,IL,009,Brown County,2370
17,IL,011,Bureau County,16940
17,IL,013,Calhoun County,2290
17,IL,015,Carroll County,7730
17,IL,017,Cass County,6290
17,IL,019,Champaign County,84060
17,IL,021,Christian County,15790
17,IL,023,Clark County,7590
17,IL,025,Clay County,6220
17,IL,027,Clinton County,17580
17,IL,029,Coles County,21210
17,IL,031,Cook County,2509880
17,IL,033,Crawford County,8880
17,IL,035,Cumberland County,4970
17,IL,037,DeKalb County,45070
17,IL,039,De Witt County,7690
17,IL,041,Douglas County,9800
17,IL,043,DuPage County,464570
17,IL,045,Edgar County,8210
17,IL,047,Edwards County,3010
17,IL,049,Effingham County,17470
17,IL,051,Fayette County,8930
17,IL,053,Ford County,6580
17,IL,055,Franklin County,16960
17,IL,057,Fulton County,16170
17,IL,059,Gallatin County,2330
17,IL,061,Greene County,5930
17,IL,063,Grundy County,24160
17,IL,065,Hamilton County,3690
17,IL,067,Hancock County,8930
17,IL,069,Hardin County,1660
17,IL,071,Henderson County,3330
17,IL,073,Henry County,24270
17,IL,075,Iroquois County,13890
17,IL,077,Jackson County,23220
17,IL,079,Jasper County,4650
17,IL,081,Jefferson County,16960
17,IL,083,Jersey County,10270
17,IL,085,Jo Daviess County,11980
17,IL,087,Johnson County,5070
17,IL,089,Kane County,235420
17,IL,091,Kankakee County,50580
17,IL,093,Kendall County,53450
17,IL,095,Knox County,23550
17,IL,097,Lake County,336940
17,IL,099,LaSalle County,54170
17,IL,101,Lawrence County,6450
17,IL,103,Lee County,16370
17,IL,105,Livingston County,17260
17,IL,107,Logan County,12750
17,IL,109,McDonough County,12540
17,IL,111,McHenry County,150730
17,IL,113,McLean County,78130
17,IL,115,Macon County,50110
17,IL,117,Macoupin County,21410
17,IL,119,Madison County,124730
17,IL,121,Marion County,17940
17,IL,123,Marshall County,5960
17,IL,125,Mason County,6600
17,IL,127,Massac County,6640
17,IL,129,Menard County,6180
17,IL,131,Mercer County,8030
17,IL,133,Monroe County,16620
17,IL,135,Montgomery County,12720
17,IL,137,Morgan County,15810
17,IL,139,Moultrie County,6820
17,IL,141,Ogle County,25370
17,IL,143,Peoria County,90800
17,IL,145,Perry County,8920
17,IL,147,Piatt County,8060
17,IL,149,Pike County,6910
17,IL,151,Pope County,1410
17,IL,153,Pulaski County,2470
17,IL,155,Putnam County,3020
17,IL,157,Randolph County,13810
