State FIPS code,State,County FIPS code,County name,Number of returns
00,US,000,Total [11],"145,824,340"
01,AL,000,Alabama,2048400
01,AL,001,Autauga County,23690
01,AL,003,Baldwin County,89970
01,AL,005,Barbour County,10070
01,AL,007,Bibb County,8000
01,AL,009,Blount County,22010
01,AL,011,Bullock County,3950
01,AL,013,Butler County,8190
01,AL,015,Calhoun County,47890
01,AL,017,Chambers County,14850
01,AL,019,Cherokee County,9170
01,AL,021,Chilton County,17460
01,AL,023,Choctaw County,5240
01,AL,025,Clarke County,10310
01,AL,027,Clay County,5560
01,AL,029,Cleburne County,5680
01,AL,031,Coffee County,20840
01,AL,033,Colbert County,23700
01,AL,035,Conecuh County,5020
01,AL,037,Coosa County,4050
01,AL,039,Covington County,15100
01,AL,041,Crenshaw County,5810
01,AL,043,Cullman County,33050
01,AL,045,Dale County,20300
01,AL,047,Dallas County,16830
01,AL,049,DeKalb County,26620
01,AL,051,Elmore County,34630
01,AL,053,Escambia County,14380
01,AL,055,Etowah County,42010
01,AL,057,Fayette County,6320
01,AL,059,Franklin County,12350
01,AL,061,Geneva County,10280
01,AL,063,Greene County,3480
01,AL,065,Hale County,6410
01,AL,067,Henry County,7050
01,AL,069,Houston County,45000
01,AL,071,Jackson County,21330
01,AL,073,Jefferson County,296530
01,AL,075,Lamar County,5360
01,AL,077,Lauderdale County,38170
01,AL,079,Lawrence County,13550
01,AL,081,Lee County,60790
01,AL,083,Limestone County,37130
01,AL,085,Lowndes County,4990
01,AL,087,Macon County,8190
01,AL,089,Madison County,161270
01,AL,091,Marengo County,8540
01,AL,093,Marion County,10820
01,AL,095,Marshall County,39400
01,AL,097,Mobile County,177680
01,AL,099,Monroe County,8420
01,AL,101,Montgomery County,101400
01,AL,103,Morgan County,52240
01,AL,105,Perry County,3900
01,AL,107,Pickens County,7530
01,AL,109,Pike County,12660
01,AL,111,Randolph County,8850
01,AL,113,Russell County,25100
01,AL,115,St. Clair County,35010
01,AL,117,Shelby County,91930
01,AL,119,Sumter County,5250
01,AL,121,Talladega County,32900
01,AL,123,Tallapoosa County,17570
01,AL,125,Tuscaloosa County,80840
01,AL,127,Walker County,25460
01,AL,129,Washington County,6600
01,AL,131,Wilcox County,4810
01,AL,133,Winston County,9170
02,AK,000,Alaska,359060
02,AK,013,Aleutians East Borough,1060
02,AK,016,Aleutians West Census Area,2380
02,AK,020,Anchorage Municipality,153550
02,AK,050,Bethel Census Area,7000
02,AK,060,Bristol Bay Borough,540
02,AK,068,Denali Borough,1140
02,AK,070,Dillingham Census Area,2310
02,AK,090,Fairbanks North Star Borough,47580
02,AK,100,Haines Borough,1370
02,AK,105,Hoonah-Angoon Census Area,1100
02,AK,110,Juneau City and Borough,17660
02,AK,122,Kenai Peninsula Borough,29200
02,AK,130,Ketchikan Gateway Borough,7300
02,AK,150,Kodiak Island Borough,7180
02,AK,164,Lake and Peninsula Borough,770
02,AK,170,Matanuska-Susitna Borough,43290
02,AK,180,Nome Census Area,3900
02,AK,185,North Slope Borough,3420
02,AK,188,Northwest Arctic Borough,2720
02,AK,195,Petersburg Census Area,1990
02,AK,198,Prince of Wales-Hyder Census Area,2410
02,AK,220,Sitka City and Borough,4690
02,AK,230,Skagway Municipality,750
02,AK,240,Southeast Fairbanks Census Area,3320
02,AK,261,Valdez-Cordova Census Area,5140
02,AK,270,Wade Hampton Census Area,3100
02,AK,275,Wrangell City and Borough,1110
02,AK,282,Yakutat City and Borough,290
02,AK,290,Yukon-Koyukuk Census Area,2830
04,AZ,000,Arizona,2812790
04,AZ,001,Apache County,23940
04,AZ,003,Cochise County,52160
04,AZ,005,Coconino County,57780
04,AZ,007,Gila County,21420
04,AZ,009,Graham County,11500
04,AZ,011,Greenlee County,3470
04,AZ,012,La Paz County,6480
04,AZ,013,Maricopa County,1754580
04,AZ,015,Mohave County,78780
04,AZ,017,Navajo County,37750
04,AZ,019,Pima County,431120
04,AZ,021,Pinal County,131660
04,AZ,023,Santa Cruz County,19600
04,AZ,025,Yavapai County,99230
04,AZ,027,Yuma County,83430
05,AR,000,Arkansas,1220160
05,AR,001,Arkansas County,8110
05,AR,003,Ashley County,8470
05,AR,005,Baxter County,17680
05,AR,007,Benton County,103120
05,AR,009,Boone County,15330
05,AR,011,Bradley County,4330
05,AR,013,Calhoun County,1880
05,AR,015,Carroll County,12040
05,AR,017,Chicot County,4220
05,AR,019,Clark County,8340
05,AR,021,Clay County,5990
05,AR,023,Cleburne County,10780
05,AR,025,Cleveland County,3210
05,AR,027,Columbia County,9150
05,AR,029,Conway County,8460
05,AR,031,Craighead County,41010
05,AR,033,Crawford County,23750
05,AR,035,Crittenden County,21330
05,AR,037,Cross County,7250
05,AR,039,Dallas County,2960
05,AR,041,Desha County,5050
05,AR,043,Drew County,7150
05,AR,045,Faulkner County,48420
05,AR,047,Franklin County,6830
05,AR,049,Fulton County,4310
05,AR,051,Garland County,43370
05,AR,053,Grant County,7330
05,AR,055,Greene County,17060
05,AR,057,Hempstead County,8620
05,AR,059,Hot Spring County,12520
05,AR,061,Howard County,5550
05,AR,063,Independence County,14560
05,AR,065,Izard County,4670
05,AR,067,Jackson County,5940
05,AR,069,Jefferson County,30620
05,AR,071,Johnson County,9690
05,AR,073,Lafayette County,2630
05,AR,075,Lawrence County,6180
05,AR,077,Lee County,3120
05,AR,079,Lincoln County,4130
05,AR,081,Little River County,4980
05,AR,083,Logan County,8490
05,AR,085,Lonoke County,29500
05,AR,087,Madison County,6190
05,AR,089,Marion County,6340
05,AR,091,Miller County,17600
05,AR,093,Mississippi County,17790
05,AR,095,Monroe County,3160
05,AR,097,Montgomery County,3160
05,AR,099,Nevada County,3430
05,AR,101,Newton County,2940
05,AR,103,Ouachita County,9840
05,AR,105,Perry County,4070
05,AR,107,Phillips County,7670
05,AR,109,Pike County,4130
05,AR,111,Poinsett County,8950
05,AR,113,Polk County,7710
05,AR,115,Pope County,25140
05,AR,117,Prairie County,3340
05,AR,119,Pulaski County,182460
05,AR,121,Randolph County,6660
05,AR,123,St. Francis County,9310
05,AR,125,Saline County,49390
05,AR,127,Scott County,4050
05,AR,129,Searcy County,2970
05,AR,131,Sebastian County,52780
05,AR,133,Sevier County,6220
05,AR,135,Sharp County,6300
05,AR,137,Stone County,4670
05,AR,139,Union County,17580
